SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
1,A B Laboratories (Ayurvedic),Gasmo,Capsule,Amlapittantak Churna,AY-46-A-034,Ayurvedic
2,A B Laboratories (Ayurvedic),Espec,Capsule,Echinacea,AY-46-A-035,Ayurvedic
3,A B Laboratories (Ayurvedic),Ruchirise,Capsule,Ginger,AY-46-A-036,Ayurvedic
4,A B Laboratories (Ayurvedic),Centac,Capsule,Thankuni,AY-46-A-037,Ayurvedic
5,A B Laboratories (Ayurvedic),Travil,Capsule,Devil's Claw,AY-46-A-038,Ayurvedic
6,A B Laboratories (Ayurvedic),Capsical,Capsule,Capsicum / Cayeni,AY-46-A-039,Ayurvedic
7,A B Laboratories (Ayurvedic),Libix,Capsule,Cowhage,AY-46-A-040,Ayurvedic
8,A B Laboratories (Ayurvedic),Prevail,Capsule,Ashwagandha,AY-46-A-041,Ayurvedic
9,A B Laboratories (Ayurvedic),Nervorise,Liquid,Sanjivani Rasayan,AY-46-A-006,Ayurvedic
10,A B Laboratories (Ayurvedic),Roti Gold,Capsule,Ratibilas Bati,AY-46-A-007,Ayurvedic
11,A B Laboratories (Ayurvedic),Gaslow,Capsule,Amlapittantak Ras,AY-46-A-008,Ayurvedic
12,A B Laboratories (Ayurvedic),Skinuza Plus,Capsule,Nimbadi Churna,AY-46-A-009,Ayurvedic
13,A B Laboratories (Ayurvedic),Arthronil,Capsule,Nagendra Bati,AY-46-A-010,Ayurvedic
14,A B Laboratories (Ayurvedic),Livoup,Capsule,Jakridari Louha,AY-46-A-011,Ayurvedic
15,A B Laboratories (Ayurvedic),Urisafe,Capsule,Chandanadi Churna,AY-46-A-012,Ayurvedic
16,A B Laboratories (Ayurvedic),Lofat,Capsule,Barabagni Ras,AY-46-A-013,Ayurvedic
17,A B Laboratories (Ayurvedic),Livorise,Liquid,Rohitakarista,AY-46-A-014,Ayurvedic
18,A B Laboratories (Ayurvedic),Jubo Plus,Capsule,Joubansatadal,AY-46-A-015,Ayurvedic
19,A B Laboratories (Ayurvedic),Nonsolin,Capsule,Basanta Kusumakar Ras,AY-46-A-016,Ayurvedic
20,A B Laboratories (Ayurvedic),Asthomit,Capsule,Swaskaschintamoni,AY-46-A-017,Ayurvedic
21,A B Laboratories (Ayurvedic),Dysonil,Capsule,Maharaj Nripatiballiav,AY-46-A-018,Ayurvedic
22,A B Laboratories (Ayurvedic),Diablex,Liquid,Jambadyarista,AY-46-A-019,Ayurvedic
23,A B Laboratories (Ayurvedic),Precoder,Oil (Liquid),Shri Gopal Taila,AY-46-A-020,Ayurvedic
24,A B Laboratories (Ayurvedic),AB Cid,Liquid,Amalaki Rasayan,AY-46-A-021,Ayurvedic
25,A B Laboratories (Ayurvedic),Spermex,Semi-Solid,Sukrasanjibani Modak,AY-46-A-022,Ayurvedic
26,A B Laboratories (Ayurvedic),Memo Care,Capsule,Saraswata Churna,AY-46-A-023,Ayurvedic
27,A B Laboratories (Ayurvedic),Whitenil,Capsule,Pushyanugn Churna,AY-46-A-024,Ayurvedic
28,A B Laboratories (Ayurvedic),Pylo-9,Capsule,Arshahara Bati,AY-46-A-025,Ayurvedic
29,A B Laboratories (Ayurvedic),Zymosafe,Liquid,Mustakarista,AY-46-A-001,Ayurvedic
30,A B Laboratories (Ayurvedic),AB Card,Liquid,Arjunarista,AY-46-A-002,Ayurvedic
31,A B Laboratories (Ayurvedic),AB-Balarist,Liquid,Balarista,AY-46-A-003,Ayurvedic
32,A B Laboratories (Ayurvedic),AB Cough,Liquid,Draksharista,AY-46-A-004,Ayurvedic
33,A B Laboratories (Ayurvedic),Femisafe,Liquid,Ashokarista,AY-46-A-005,Ayurvedic
34,A B Laboratories (Ayurvedic),Slinoba,Capsule,Neem,AY-46-A-043,Ayurvedic
35,A B Laboratories (Ayurvedic),Diamo,Capsule,Jambolan / Syzygium,AY-46-A-044,Ayurvedic
36,A B Laboratories (Ayurvedic),Flatlo,Capsule,Kurchi,AY-46-A-045,Ayurvedic
37,A B Laboratories (Ayurvedic),Heparise,Capsule,Kalamegh,AY-46-A-046,Ayurvedic
38,A B Laboratories (Ayurvedic),Aslab,Capsule,Astragalus,AY-46-A-042,Ayurvedic
39,A B Laboratories (Ayurvedic),Tinocor,Liquid,Amritarista,AY-46-A-047,Ayurvedic
40,A B Laboratories (Ayurvedic),AB Digenor,Liquid,Jirakadyarista / Jirakarista,AY-46-A-048,Ayurvedic
41,A B Laboratories (Ayurvedic),Licum,Capsule,Garlic,AY-46-A-049,Ayurvedic
42,A B Laboratories (Ayurvedic),Eczemin,Ointment,Dadru Dalan,AY-46-A-050,Ayurvedic
43,A B Laboratories (Ayurvedic),Tornyl,Ointment,Batrakhashi Taila,AY-46-A-051,Ayurvedic
44,A B Laboratories (Ayurvedic),Pectin,Capsule,Pomegranate,AY-46-A-052,Ayurvedic
45,A B Laboratories (Ayurvedic),Helen,Capsule,Water Cress,AY-46-A-053,Ayurvedic
46,A B Laboratories (Ayurvedic),Edebo,Capsule,Punarnava,AY-46-A-054,Ayurvedic
47,A B Laboratories (Ayurvedic),Marmel,Semi-Solid,Chyabanprash,AY-46-A-055,Ayurvedic
48,A B Laboratories (Ayurvedic),Mehonil,Liquid,Mehabajra Rasayan / Mehari,AY-46-A-026,Ayurvedic
49,A B Laboratories (Ayurvedic),Itchicon,Liquid,Saribadyarista,AY-46-A-027,Ayurvedic
50,A B Laboratories (Ayurvedic),Urisov,Liquid,Chandanasav,AY-46-A-028,Ayurvedic
51,A B Laboratories (Ayurvedic),ABton,Liquid,Dasamularista,AY-46-A-029,Ayurvedic
52,A B Laboratories (Ayurvedic),Dysoton,Liquid,Kutajadi Kwath,AY-46-A-030,Ayurvedic
53,A B Laboratories (Ayurvedic),AB-Basok,Liquid,Vasakarista / Vasakasav,AY-46-A-031,Ayurvedic
54,A B Laboratories (Ayurvedic),Vitasov,Liquid,Aravindasav,AY-46-A-032,Ayurvedic
55,A B Laboratories (Ayurvedic),Pylosafe,Liquid,Abhayarista,AY-46-A-033,Ayurvedic
56,A H Laboratories (Ay),AH Bico Vit,Liquid,Balarista,AY-18-A-002,Ayurvedic
57,A H Laboratories (Ay),A-Peptra-H,Liquid,Mustakarista,AY-18-A-001,Ayurvedic
58,A H Laboratories (Ay),AH-Alkonil,Liquid,Chandanasav,AY-18-A-003,Ayurvedic
59,A H Laboratories (Ay),AH Adato-V,Liquid,Vasakarista / Vasakasav,AY-18-A-004,Ayurvedic
60,A H Laboratories (Ay),A Liv-1,Liquid,Kalameghasav,AY-18-A-005,Ayurvedic
61,A H Laboratories (Ay),A-Card-H,Liquid,Arjunarista,AY-18-A-006,Ayurvedic
62,A H Laboratories (Ay),AH-Leucocef,Liquid,Patrangasav,AY-18-A-007,Ayurvedic
63,A H Laboratories (Ay),AH Gastocef,Kwath,Dasanga Kwath,AY-18-A-008,Ayurvedic
64,A H Laboratories (Ay),AT Plus-30,Liquid,Bhimras,AY-18-A-009,Ayurvedic
65,A H Laboratories (Ay),AH Vita-10 Plus,Liquid,Dasamularista,AY-18-A-010,Ayurvedic
66,A H Laboratories (Ay),AH-Cef D Plus,Liquid,Kutajarista,AY-18-A-011,Ayurvedic
67,A H Laboratories (Ay),AH-Genton,Liquid,Sanjivani Rasayan,AY-18-A-012,Ayurvedic
68,A H Laboratories (Ay),AH-Vit,Liquid,Louhasav,AY-18-A-013,Ayurvedic
69,A H Laboratories (Ay),AH Dai-B,Liquid,Jambadyarista,AY-18-A-014,Ayurvedic
70,A H Laboratories (Ay),AH-Cef-B,Liquid,Saribadi,AY-18-A-015,Ayurvedic
71,A H Laboratories (Ay),AH-Grapep-Plus,Liquid,Aravindasav,AY-18-A-016,Ayurvedic
72,A H Laboratories (Ay),AH-Krimi-Nil,Liquid,Mustakadi Kwath,AY-18-A-017,Ayurvedic
73,A H Laboratories (Ay),AH-Dashan,Powder,Dashan Sanskar Churna,AY-18-A-018,Ayurvedic
74,A. N. Laboratories Ayurvedic Ltd.,A. N. Plex,Liquid,Amalaki Rasayan,AY-018-A-001,Ayurvedic
75,A. N. Laboratories Ayurvedic Ltd.,Dia. V,Liquid,Jambadyarista,AY-018-A-002,Ayurvedic
76,A. N. Laboratories Ayurvedic Ltd.,A. V. Plex,Liquid,Sanjivani Rasayan,AY-018-A-003,Ayurvedic
77,A. N. Laboratories Ayurvedic Ltd.,Alpha plus,Oil (Liquid),Jatyadya Taila,AY-018-A-004,Ayurvedic
78,A. N. Laboratories Ayurvedic Ltd.,A. N. Cof,Liquid,Vasakarista / Vasakasav,AY-018-A-005,Ayurvedic
79,A. N. Laboratories Ayurvedic Ltd.,Rakmax,Liquid,Saribadyarista,AY-18-A-006,Ayurvedic
80,A. N. Laboratories Ayurvedic Ltd.,Regliv,Syrup,Rohitakarista,AY-18-A-007,Ayurvedic
81,A. N. Laboratories Ayurvedic Ltd.,A-Lo,Liquid,Aswagandharista,AY-18-A-008,Ayurvedic
82,A. N. Laboratories Ayurvedic Ltd.,ALN,Liquid,Chandanasav,AY-18-A-009,Ayurvedic
83,A. N. Laboratories Ayurvedic Ltd.,Arzu-V,Liquid,Arjunarista,AY-18-A-010,Ayurvedic
84,A. N. Laboratories Ayurvedic Ltd.,LQ-V,Liquid,Ashokarista,AY-18-A-012,Ayurvedic
85,A. N. Laboratories Ayurvedic Ltd.,Hemo,Liquid,Balarista,AY-18-A-013,Ayurvedic
86,A. N. Laboratories Ayurvedic Ltd.,Famiva,Liquid,Draksharista,AY-18-A-015,Ayurvedic
87,A. N. Laboratories Ayurvedic Ltd.,Zito,Liquid,Dasamularista,AY-18-A-016,Ayurvedic
