SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
1,Alif Hoeomo Laboratories,Andrographis Peniculata,Liquid,Andrographis Paniculata,H-66-A-1,Homeopathic
2,Alif Hoeomo Laboratories,Hydratis Can.,Liquid,FALSE,H-66-A-2,Homeopathic
3,Alif Hoeomo Laboratories,Jonosia Asoka,Liquid,FALSE,H-66-A-3,Homeopathic
4,Alif Hoeomo Laboratories,Terminalia Arjuna,Liquid,FALSE,H-66-A-4,Homeopathic
5,Alif Hoeomo Laboratories,Carica Papaya,Liquid,FALSE,H-66-A-5,Homeopathic
6,Alif Hoeomo Laboratories,Blatta Orientalis,Liquid,FALSE,H-66-A-7,Homeopathic
7,Alif Hoeomo Laboratories,Cynodon Daotylon,Liquid,FALSE,H-66-A-8,Homeopathic
8,Alif Hoeomo Laboratories,Alstonia Scholaris,Liquid,FALSE,H-66-A-10,Homeopathic
9,Alif Hoeomo Laboratories,Avena Sativa,Liquid,FALSE,H-66-A-11,Homeopathic
10,Alif Hoeomo Laboratories,Nux Vomica,Liquid,FALSE,H-66-A-12,Homeopathic
11,Alif Hoeomo Laboratories,Cinchona Officinalis,Liquid,FALSE,H-66-A-13,Homeopathic
12,Alif Hoeomo Laboratories,Rhus Tox,Liquid,FALSE,H-66-A-14,Homeopathic
13,Alif Hoeomo Laboratories,Medicago Sativa,Liquid,FALSE,H-66-A-15,Homeopathic
14,Alif Hoeomo Laboratories,Ceanothus Americanus,Liquid,Ceanothus Americanus,H-66-A-16,Homeopathic
15,Alif Hoeomo Laboratories,Atista Radix,Liquid,FALSE,H-66-A-17,Homeopathic
16,Alif Hoeomo Laboratories,Artemisia Abrotanum,Liquid,Artemisia Abrotanum,H-66-A-18,Homeopathic
17,Alif Hoeomo Laboratories,Cantharis,Liquid,FALSE,H-66-A-19,Homeopathic
18,Alif Hoeomo Laboratories,Belladonna,Liquid,FALSE,H-66-A-20,Homeopathic
19,Alif Hoeomo Laboratories,Lycopodium Clavatum,Liquid,FALSE,H-66-A-21,Homeopathic
20,Alif Hoeomo Laboratories,Chelidonium Majus,Liquid,FALSE,H-66-A-22,Homeopathic
21,Alif Hoeomo Laboratories,Calendula Oddicinalis,Liquid,FALSE,H-66-A-23,Homeopathic
22,Alif Hoeomo Laboratories,Cina,Liquid,FALSE,H-66-A-24,Homeopathic
23,Alif Hoeomo Laboratories,Berberis Vulgaris,Liquid,FALSE,H-66-A-25,Homeopathic
24,Alif Hoeomo Laboratories,Krerosote,Liquid,Kreosote,H-66-A-26,Homeopathic
25,Alif Hoeomo Laboratories,Secale Cornutum,Liquid,FALSE,H-66-A-27,Homeopathic
26,Alif Hoeomo Laboratories,Aralia Quinquefolif,Liquid,Aralia Quinquefolif,H-66-A-28,Homeopathic
27,Alif Hoeomo Laboratories,Apis Mellifica,Liquid,FALSE,H-66-A-29,Homeopathic
28,Alif Hoeomo Laboratories,Eriodictyon Glutinosum,Liquid,Eriodictyon Glutinosum,H-66-A-30,Homeopathic
29,Alif Hoeomo Laboratories,Embelica Officinalis,Liquid,Embelica Officinalis 3X,H-66-A-6,Homeopathic
30,Allen MXN Homoeo Laboratory,Calcarea Phosphorica,Tablet,Calcarea Phosphorica,H-47-A-18,Homeopathic
31,Allen MXN Homoeo Laboratory,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-47-A-19,Homeopathic
32,Allen MXN Homoeo Laboratory,Magnesium Phosphoricum,Tablet,Magnesium Phosphoricum,H-47-A-20,Homeopathic
33,Allen MXN Homoeo Laboratory,Amloki,Liquid,FALSE,H-47-A-26,Homeopathic
34,Allen MXN Homoeo Laboratory,Santonine,Tablet,Santonine 1X,H-47-A-27,Homeopathic
35,Allen MXN Homoeo Laboratory,Zincum Phosphoricum,Tablet,Zincum Phosphoricum,H-47-A-28,Homeopathic
36,Allen MXN Homoeo Laboratory,Acidum Citricum,Tablet,Acidum Citricum,H-47-A-29,Homeopathic
37,Allen MXN Homoeo Laboratory,Nux Vomica,Liquid,FALSE,H-47-A-30,Homeopathic
38,Allen MXN Homoeo Laboratory,Acidum Phosphoricum,Liquid,Acidum Phosphoricum 1X,H-47-A-31,Homeopathic
39,Allen MXN Homoeo Laboratory,Magnesium Carbonate,Tablet,Magnesium Carbonate 1X,H-47-A-32,Homeopathic
40,Allen MXN Homoeo Laboratory,Terminalia Chebula,Liquid,Terminalia Chebula (Haritaki),H-47-A-33,Homeopathic
41,Allen MXN Homoeo Laboratory,Acidum Benzoicum,Liquid,Acid Benzoic,H-47-A-34,Homeopathic
42,Allen MXN Homoeo Laboratory,Borax,Tablet,FALSE,H-47-A-36,Homeopathic
43,Allen MXN Homoeo Laboratory,Asoka,Liquid,FALSE,H-47-A-37,Homeopathic
44,Allen MXN Homoeo Laboratory,Cinnamomum,Liquid,FALSE,H-47-A-38,Homeopathic
45,Allen MXN Homoeo Laboratory,Kalamegh,Liquid,FALSE,H-47-A-39,Homeopathic
46,Allen MXN Homoeo Laboratory,Calcarea Carbonica,Tablet,Calcarea Carb,H-47-A-40,Homeopathic
47,Amiba Homoeo Laboratory,Agnus Cast,Liquid,FALSE,H-70-A-1,Homeopathic
48,Amiba Homoeo Laboratory,Pulsatilla,Liquid,FALSE,H-70-A-2,Homeopathic
49,Amiba Homoeo Laboratory,Nux Vomica,Liquid,FALSE,H-70-A-3,Homeopathic
50,Amiba Homoeo Laboratory,Jonosia Asoka,Liquid,FALSE,H-70-A-4,Homeopathic
51,Amiba Homoeo Laboratory,Justicia Adhatoda,Liquid,FALSE,H-70-A-5,Homeopathic
52,Amiba Homoeo Laboratory,Medicago Sativa,Liquid,FALSE,H-70-A-6,Homeopathic
53,Amiba Homoeo Laboratory,Avena Sativa,Liquid,FALSE,H-70-A-7,Homeopathic
54,Amiba Homoeo Laboratory,China Officinalis,Liquid,Chinchona Officinalis  China,H-70-A-9,Homeopathic
55,Amiba Homoeo Laboratory,Colophyllum T,Liquid,Colophyllum T,H-70-A-11,Homeopathic
56,Amiba Homoeo Laboratory,Kalmegh,Liquid,FALSE,H-70-A-12,Homeopathic
57,Annex Pharmaceuticals (Homoeopathic),Alstonia Scholaris,Liquid,FALSE,H-9-A-1,Homeopathic
58,Annex Pharmaceuticals (Homoeopathic),Hydratis Canadensis,Liquid,FALSE,H-9-A-2,Homeopathic
59,Annex Pharmaceuticals (Homoeopathic),Justicia Adhatoda,Liquid,FALSE,H-9-A-3,Homeopathic
60,Annex Pharmaceuticals (Homoeopathic),Calendula Officinalis,Liquid,FALSE,H-9-A-4,Homeopathic
61,Annex Pharmaceuticals (Homoeopathic),Nux Vomica,Liquid,FALSE,H-9-A-5,Homeopathic
62,Annex Pharmaceuticals (Homoeopathic),Senna,Liquid,FALSE,H-9-A-6,Homeopathic
63,Annex Pharmaceuticals (Homoeopathic),Terminalia Arjuna,Liquid,FALSE,H-9-A-7,Homeopathic
64,Annex Pharmaceuticals (Homoeopathic),Aconite Napellus,Liquid,FALSE,H-9-A-8,Homeopathic
65,Bangladesh Homoeo Research Laboratory,Nux Vomica-Q,Liquid,FALSE,H-39-A-1,Homeopathic
66,Bangladesh Homoeo Research Laboratory,Pulsatilla -Q,Liquid,FALSE,H-39-A-2,Homeopathic
67,Bangladesh Homoeo Research Laboratory,Aconite Napellus-Q,Liquid,FALSE,H-39-A-3,Homeopathic
68,Bangladesh Homoeo Research Laboratory,Terminalia Arjuna-Q,Liquid,FALSE,H-39-A-4,Homeopathic
69,Bangladesh Homoeo Research Laboratory,Syzygium Jambolanum-Q,Liquid,FALSE,H-39-A-5,Homeopathic
70,Bangladesh Homoeo Research Laboratory,Hydratis Canadensis-Q,Liquid,FALSE,H-39-A-6,Homeopathic
71,Bangladesh Homoeo Research Laboratory,Cina,Liquid,FALSE,H-39-A-7,Homeopathic
72,Bangladesh Homoeo Research Laboratory,Justicia Adhatoda,Liquid,FALSE,H-39-A-8,Homeopathic
73,Bangladesh Homoeo Research Laboratory,Cantharis-Q,Liquid,FALSE,H-39-A-9,Homeopathic
74,Bangladesh Homoeo Research Laboratory,Kalmegh,Liquid,FALSE,H-39-A-10,Homeopathic
75,Bangladesh Homoeo Research Laboratory,China,Liquid,Chinchona Officinalis  China,H-39-A-11,Homeopathic
76,Bangladesh Homoeo Research Laboratory,Avena Sativa-Q,Liquid,FALSE,H-39-A-12,Homeopathic
77,Bengal Homoeo Laboratory,Apis Mellifica,Liquid,FALSE,H-40-A-3,Homeopathic
78,Bengal Homoeo Laboratory,Agnus Castus,Liquid,FALSE,H-40-A-4,Homeopathic
79,Bengal Homoeo Laboratory,Damiana,Liquid,FALSE,H-40-A-5,Homeopathic
80,Bengal Homoeo Laboratory,Thuja Occidentalis,Liquid,FALSE,H-40-A-6,Homeopathic
81,Bengal Homoeo Laboratory,Berberis Vulgaris,Liquid,FALSE,H-40-A-7,Homeopathic
82,Bengal Homoeo Laboratory,Bapistia Tinctoria,Liquid,FALSE,H-40-A-8,Homeopathic
83,Bengal Homoeo Laboratory,Hydrastis Canadensis,Liquid,FALSE,H-40-A-9,Homeopathic
84,Bengal Homoeo Laboratory,Andrographis Paniculata,Liquid,Andrographis Paniculata,H-40-A-10,Homeopathic
85,Bengal Homoeo Laboratory,Kreosotium,Liquid,FALSE,H-40-A-11,Homeopathic
86,Bengal Homoeo Laboratory,Colocynthis,Liquid,FALSE,H-40-A-12,Homeopathic
87,Bengal Homoeo Laboratory,Syzygium Jamblanum,Liquid,FALSE,H-40-A-13,Homeopathic
88,Bengal Homoeo Laboratory,Atista Indica,Liquid,FALSE,H-40-A-14,Homeopathic
89,Bengal Homoeo Laboratory,Janosia Asoka,Liquid,FALSE,H-40-A-15,Homeopathic
90,Bengal Homoeo Laboratory,Aconitum Napellus,Liquid,FALSE,H-40-A-16,Homeopathic
91,Bengal Homoeo Laboratory,Terminalia Arjuna,Liquid,FALSE,H-40-A-17,Homeopathic
92,Bengal Homoeo Laboratory,Arnica Montana,Liquid,FALSE,H-40-A-18,Homeopathic
93,Bengal Homoeo Laboratory,Bryonia Alb,Liquid,FALSE,H-40-A-19,Homeopathic
94,Bengal Homoeo Laboratory,Avena Sativa,Liquid,FALSE,H-40-A-20,Homeopathic
95,Bengal Homoeo Laboratory,Pulsatilla Nigricans,Liquid,FALSE,H-40-A-21,Homeopathic
96,Bengal Homoeo Laboratory,Cina,Liquid,FALSE,H-40-A-22,Homeopathic
97,Bengal Homoeo Laboratory,China Off,Liquid,Chinchona Officinalis  China,H-40-A-23,Homeopathic
98,Bengal Homoeo Laboratory,Ocimum Sanctum,Liquid,FALSE,H-40-A-24,Homeopathic
99,Bengal Homoeo Laboratory,Calendula Offcinalis,Liquid,FALSE,H-40-A-25,Homeopathic
100,Bengal Homoeo Laboratory,Secale Cornutum,Liquid,FALSE,H-40-A-26,Homeopathic
101,Bengal Homoeo Laboratory,Abroma Augusta,Liquid,FALSE,H-40-A-27,Homeopathic
102,Bengal Homoeo Laboratory,Nux Vomica,Liquid,FALSE,H-40-A-28,Homeopathic
103,Bengal Homoeo Laboratory,Belladonna,Liquid,FALSE,H-40-A-29,Homeopathic
104,Bengal Homoeo Laboratory,Gelsemium Sempervirens,Liquid,Gelsemium Sempervirens,H-40-A-30,Homeopathic
105,Bengal Homoeo Laboratory,Crataegus Oxyacantha,Liquid,FALSE,H-40-A-31,Homeopathic
106,Bengal Homoeo Laboratory,Chelidonium Majus,Liquid,FALSE,H-40-A-33,Homeopathic
107,Bengal Homoeo Laboratory,Justicia Adhatoda,Liquid,FALSE,H-40-A-34,Homeopathic
108,Bengal Homoeo Laboratory,Abroma Radix,Liquid,FALSE,H-40-A-35,Homeopathic
109,Bengal Homoeo Laboratory,Carica Papaya,Liquid,FALSE,H-40-A-36,Homeopathic
110,Bengal Homoeo Laboratory,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-40-A-38,Homeopathic
111,Bengal Homoeo Laboratory,Atista Radex,Liquid,FALSE,H-40-A-37,Homeopathic
112,Bengal Homoeo Laboratory,Kali Muriaticum,Tablet,Kali Muriaticum,H-40-A-39,Homeopathic
113,Bengal Homoeo Laboratory,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-40-A-40,Homeopathic
114,Bengal Homoeo Laboratory,Calcaria Flouricum,Liquid,Calcarea Fluorica,H-40-A-41,Homeopathic
115,Bengal Homoeo Laboratory,Calcaria Phosphoricum,Tablet,Calcarea Phosphorica,H-40-A-42,Homeopathic
116,Bengal Homoeo Laboratory,Magnesia Phosphoricum,Tablet,Magnesia Phosphorica,H-40-A-43,Homeopathic
117,Bengal Homoeo Laboratory,Kali Sulphurica,Tablet,Kali Sulphuricum,H-40-A-44,Homeopathic
118,Bengal Homoeo Laboratory,Calcaria Sylphuricum,Tablet,Calcarea Sulphurica,H-40-A-45,Homeopathic
119,Bengal Homoeo Laboratory,Silicea,Tablet,Silicea,H-40-A-46,Homeopathic
120,Bengal Homoeo Laboratory,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-40-A-47,Homeopathic
121,Bengal Homoeo Laboratory,Natrum Phosphoricum,Tablet,Natrum Phosphoricum,H-40-A-48,Homeopathic
122,Bengal Homoeo Laboratory,Natrum Muriaticum,Tablet,Natrum Muriaticum,H-40-A-49,Homeopathic
123,Bengal Homoeo Laboratory,Gestozime,Liquid,Anacardium 4X + Arsenicum Alb 5X + Calarium 1X + Leonurus Cardiaca 1X + Nux Vomica 3X,H-25-A-21,Homeopathic
124,Bengal Homoeo Laboratory,B-Tulshi,Syrup,FALSE,H-25-A-22,Homeopathic
125,Bengal Homoeo Laboratory,Baby Like,Syrup,Avena Sat 4X + Calcium Carbonate 30 + Carica pap 4X + Chamomilla 4X + Cinamon 3X + Illicum Anisatum 4X + Zingiber off 6X,H-25-A-23,Homeopathic
126,Bengal Homoeo Laboratory,B-Basak,Syrup,FALSE,H-25-A-27,Homeopathic
127,Bengal Homoeo Laboratory,B-Ambra Plus,Tablet,Acidum Phosphoricum-4X + Agnus Cast 4X + Cinchona Off 4X + Conium 4X + Damiana 4X + Embra Gresia-4X + Moschus 4X + Nux Vom 4X + Sabal Ser 4X + Yohimbinum 4X,H-25-A-28,Homeopathic
128,Bengal Homoeo Laboratory,Dygime,Syrup,FALSE,H-25-A-29,Homeopathic
129,Bengal Homoeo Laboratory,Livoma,Drops,Andrographis Peniculata-18X + Baptisia + Bita Vulj-6 + Carduus Mar. 4x + Chelidonium-2X + Cianothus-3X + Echinacea Purf 3X,H-25-A-30,Homeopathic
130,Bengal Homoeo Laboratory,Branolia,Drops,Coffea 5x + Ignatia 30x + Passiflora 2x + Phosphorus 12x + Piper Meth. 3x,H-25-A-32,Homeopathic
131,Bengal Homoeo Laboratory,Lucona,Syrup,FALSE,H-25-A-34,Homeopathic
132,Bengal Homoeo Laboratory,F-Phos,Syrup,Alfalfa 1X + Cal Phos 8X + Cinchona off 2X + Ferrum Phos 8X + formic Acid 3X + Hydrastis Can 2X + Kali Phos 6X + Mag Phos 8X + Nat Phos 6X,H-25-A-36,Homeopathic
133,Bengal Homoeo Laboratory,Alfalin,Syrup,FALSE,H-25-A-37,Homeopathic
134,Bengal Homoeo Laboratory,B-Blood Vitine,Syrup,Acid Formic 5X + Acid Tart 4X + Cobalt Nit 5X + Cuprum Aset 5X + Ferrum Phos 8X + Magnesium Borocit-5X + Manganum Acet 5X + Zinc Sulphate 5X,H-25-A-33,Homeopathic
135,Bengal Homoeo Laboratory,Puls-B Tablet,Tablet,Cal Phos 3X + Calcaria Fluorica 3X + Kali Phos 3X + Magnesia Phosphoricum 3X,H-25-A-38,Homeopathic
136,Bengal Homoeo Laboratory,Liocorina,Tablet,Alumina 6C + Borax 6C + Creosptum 6X + Pulsatilla 6X + Sepia 6C,H-25-A-39,Homeopathic
137,Bengal Homoeo Laboratory,Ginseng,Drops,FALSE,H-25-A-31,Homeopathic
138,Bengal Homoeo Laboratory,Shidha Molom,Ointment,FALSE,H-25-A-24,Homeopathic
139,Bengal Homoeo Laboratory,Calotropis Gigentea,Liquid,FALSE,H-25-A-1,Homeopathic
140,Bengal Homoeo Laboratory,Acalypha Indica,Liquid,FALSE,H-25-A-4,Homeopathic
141,Bengal Homoeo Laboratory,Asvagandha,Liquid,FALSE,H-25-A-10,Homeopathic
142,Bengal Homoeo Laboratory,Verbascum Thaspsus (Mullein),Liquid,Verbascum Thapsus,H-25-A-11,Homeopathic
143,Bengal Homoeo Laboratory,Euphrasia Officinalis,Liquid,FALSE,H-25-A-15,Homeopathic
144,Bengal Homoeo Laboratory,Medicago Sativa,Liquid,FALSE,H-25-A-16,Homeopathic
145,Bengal Homoeo Laboratory,Andrographis Peniculata,Liquid,FALSE,H-25-A-18,Homeopathic
146,Bengal Homoeo Laboratory,Holarhena Antidysentryca,Liquid,FALSE,H-25-A-19,Homeopathic
147,Bengal Homoeopathic Laboratory,Plantago Major,Liquid,FALSE,H-40-A-1,Homeopathic
148,Bengal Homoeopathic Laboratory,Ipecacuanha,Liquid,FALSE,H-40-A-2,Homeopathic
149,Bengal Homoeopathic Laboratory,Apis Mellifica,Liquid,FALSE,H-40-A-3,Homeopathic
150,Bengal Homoeopathic Laboratory,Agnus Castus,Liquid,FALSE,H-40-A-4,Homeopathic
151,Bengal Homoeopathic Laboratory,Damiana,Liquid,FALSE,H-40-A-5,Homeopathic
152,Bengal Homoeopathic Laboratory,Thuja Occidentalis,Liquid,FALSE,H-40-A-6,Homeopathic
153,Bengal Homoeopathic Laboratory,Berberis Vulgaris,Liquid,FALSE,H-40-A-7,Homeopathic
154,Bengal Homoeopathic Laboratory,Baptisia Tinctoria,Liquid,FALSE,H-40-A-8,Homeopathic
155,Bengal Homoeopathic Laboratory,Hydrastis Canadensis,Liquid,FALSE,H-40-A-9,Homeopathic
156,Bengal Homoeopathic Laboratory,Andrographis Paniculata,Liquid,Andrographis Paniculata,H-40-A-10,Homeopathic
157,Bengal Homoeopathic Laboratory,Kreosotium,Liquid,FALSE,H-40-A-11,Homeopathic
158,Bengal Homoeopathic Laboratory,Colocynthis,Liquid,FALSE,H-40-A-12,Homeopathic
159,Bengal Homoeopathic Laboratory,Syzygium Jambolanum,Liquid,FALSE,H-40-A-13,Homeopathic
160,Bengal Homoeopathic Laboratory,Atista Indica,Liquid,FALSE,H-40-A-14,Homeopathic
161,Bengal Homoeopathic Laboratory,Jonosia Ashoka,Liquid,FALSE,H-40-A-15,Homeopathic
162,Bengal Homoeopathic Laboratory,Aconite Napellus,Liquid,FALSE,H-40-A-16,Homeopathic
163,Bengal Homoeopathic Laboratory,Terminalia Arjuna,Liquid,FALSE,H-40-A-17,Homeopathic
164,Bengal Homoeopathic Laboratory,Arnica Montana,Liquid,FALSE,H-40-A-18,Homeopathic
165,Bengal Homoeopathic Laboratory,Bryonia Alba,Liquid,FALSE,H-40-A-19,Homeopathic
166,Bengal Homoeopathic Laboratory,Avena Sativa,Liquid,FALSE,H-40-A-20,Homeopathic
167,Bengal Homoeopathic Laboratory,Pulsatilla Nigricans,Liquid,FALSE,H-40-A-21,Homeopathic
168,Bengal Homoeopathic Laboratory,Cina,Liquid,FALSE,H-40-A-22,Homeopathic
169,Bengal Homoeopathic Laboratory,Chinchona Officinalis,Liquid,Chinchona Officinalis  China,H-40-A-23,Homeopathic
170,Bengal Homoeopathic Laboratory,Ocimum Sanctum,Liquid,FALSE,H-40-A-24,Homeopathic
171,Bengal Homoeopathic Laboratory,Calendula Offcinalis,Liquid,FALSE,H-40-A-25,Homeopathic
172,Bengal Homoeopathic Laboratory,Secale Cornutum,Liquid,FALSE,H-40-A-26,Homeopathic
173,Bengal Homoeopathic Laboratory,Abroma Augusta,Liquid,FALSE,H-40-A-27,Homeopathic
174,Bengal Homoeopathic Laboratory,Nux Vomica,Liquid,FALSE,H-40-A-28,Homeopathic
175,Bengal Homoeopathic Laboratory,Belladonna,Liquid,FALSE,H-40-A-29,Homeopathic
